load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,timestamp
219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,2023-01-01 00:00:00
207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,207.8,2023-01-01 01:00:00
199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,199.35,2023-01-01 02:00:00
188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,188.8,2023-01-01 03:00:00
181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,181.6,2023-01-01 04:00:00
181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,181.05,2023-01-01 05:00:00
184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,184.2,2023-01-01 06:00:00
189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,2023-01-01 07:00:00
195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,2023-01-01 08:00:00
215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,2023-01-01 09:00:00
233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,233.45,2023-01-01 10:00:00
247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,247.3,2023-01-01 11:00:00
249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,249.3,2023-01-01 12:00:00
235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,235.2,2023-01-01 13:00:00
210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,210.8,2023-01-01 14:00:00
208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,208.35,2023-01-01 15:00:00
210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,210.95,2023-01-01 16:00:00
225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,225.6,2023-01-01 17:00:00
248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,248.45,2023-01-01 18:00:00
253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,253.95,2023-01-01 19:00:00
253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,253.2,2023-01-01 20:00:00
249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,2023-01-01 21:00:00
235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,235.95,2023-01-01 22:00:00
223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,223.4,2023-01-01 23:00:00
206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,206.05,2023-01-02 00:00:00
190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,190.4,2023-01-02 01:00:00
186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,2023-01-02 02:00:00
181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,181.75,2023-01-02 03:00:00
179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,179.45,2023-01-02 04:00:00
182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,182.95,2023-01-02 05:00:00
197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,197.35,2023-01-02 06:00:00
218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,218.8,2023-01-02 07:00:00
243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,243.05,2023-01-02 08:00:00
263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,263.25,2023-01-02 09:00:00
272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,272.85,2023-01-02 10:00:00
275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,2023-01-02 11:00:00
275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,2023-01-02 12:00:00
274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,2023-01-02 13:00:00
266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,266.25,2023-01-02 14:00:00
262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,2023-01-02 15:00:00
262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,262.65,2023-01-02 16:00:00
280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,2023-01-02 17:00:00
306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,306.55,2023-01-02 18:00:00
309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,309.05,2023-01-02 19:00:00
306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,306.5,2023-01-02 20:00:00
293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,293.95,2023-01-02 21:00:00
274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,274.6,2023-01-02 22:00:00
254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,254.65,2023-01-02 23:00:00
232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,2023-01-03 00:00:00
214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,214.55,2023-01-03 01:00:00
208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,208.55,2023-01-03 02:00:00
202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,2023-01-03 03:00:00
198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,2023-01-03 04:00:00
202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,202.95,2023-01-03 05:00:00
224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,224.25,2023-01-03 06:00:00
250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,250.2,2023-01-03 07:00:00
277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,277.95,2023-01-03 08:00:00
300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,300.9,2023-01-03 09:00:00
307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,307.95,2023-01-03 10:00:00
308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,308.65,2023-01-03 11:00:00
308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,2023-01-03 12:00:00
306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,306.15,2023-01-03 13:00:00
294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,2023-01-03 14:00:00
291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,291.85,2023-01-03 15:00:00
289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,2023-01-03 16:00:00
308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,2023-01-03 17:00:00
331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,2023-01-03 18:00:00
335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,335.6,2023-01-03 19:00:00
330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,2023-01-03 20:00:00
312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,312.75,2023-01-03 21:00:00
290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,2023-01-03 22:00:00
267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,2023-01-03 23:00:00
241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,241.05,2023-01-04 00:00:00
220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,220.6,2023-01-04 01:00:00
215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,215.4,2023-01-04 02:00:00
208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,208.9,2023-01-04 03:00:00
206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,206.35,2023-01-04 04:00:00
211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,211.95,2023-01-04 05:00:00
230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,230.15,2023-01-04 06:00:00
256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,256.65,2023-01-04 07:00:00
282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,282.25,2023-01-04 08:00:00
305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,305.2,2023-01-04 09:00:00
308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,2023-01-04 10:00:00
308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,308.25,2023-01-04 11:00:00
307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,307.4,2023-01-04 12:00:00
302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,302.7,2023-01-04 13:00:00
287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,2023-01-04 14:00:00
285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,285.45,2023-01-04 15:00:00
279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,279.25,2023-01-04 16:00:00
296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,296.65,2023-01-04 17:00:00
321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,321.25,2023-01-04 18:00:00
323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,323.35,2023-01-04 19:00:00
317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,2023-01-04 20:00:00
298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,298.25,2023-01-04 21:00:00
277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,2023-01-04 22:00:00
255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,2023-01-04 23:00:00
228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,228.5,2023-01-05 00:00:00
208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,2023-01-05 01:00:00
204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,2023-01-05 02:00:00
198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,198.45,2023-01-05 03:00:00
196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,196.95,2023-01-05 04:00:00
203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,203.75,2023-01-05 05:00:00
222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,222.2,2023-01-05 06:00:00
250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,250.95,2023-01-05 07:00:00
