timestamp,strategy_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,duration_sec,Data Splitting Strategy (extra column)
20250513_182051,uncertainty,5,0.1,100,50,350,0.885974914,0.863169897,0.023290165,4.5,Train/Test Split
20250513_182051,random,5,0.1,100,50,350,0.883694413,0.876168757,0.012992857,4.5,Train/Test Split
20250513_182406,uncertainty,5,0.1,100,10,150,0.823261117,0.81391106,0.011158157,3.2,Train/Test Split
20250513_182406,random,5,0.1,100,10,150,0.816419612,0.812086659,0.007297605,3.2,Train/Test Split
20250513_182417,uncertainty,5,0.1,100,20,200,0.873432155,0.851995439,0.022008909,3.37,Train/Test Split
20250513_182417,random,5,0.1,100,20,200,0.850627138,0.843101482,0.016279652,3.37,Train/Test Split
20250513_182458,uncertainty,5,0.1,100,100,600,0.908779932,0.876396807,0.030156132,4.83,Train/Test Split
20250513_182458,random,5,0.1,100,100,600,0.876852908,0.864766249,0.017241558,4.83,Train/Test Split
20250513_182513,uncertainty,5,0.1,100,200,1100,0.921322691,0.89395667,0.022839199,7.24,Train/Test Split
20250513_182513,random,5,0.1,100,200,1100,0.891676169,0.870011403,0.02034637,7.24,Train/Test Split
20250513_182531,uncertainty,5,0.1,100,300,1600,0.925883694,0.892132269,0.036004493,9.26,Train/Test Split
20250513_182531,random,5,0.1,100,300,1600,0.901938426,0.88004561,0.020868771,9.26,Train/Test Split
20250513_182940,uncertainty,10,0.1,100,50,600,0.907639681,0.87936146,0.029345901,11.27,Train/Test Split
20250513_182940,random,10,0.1,100,50,600,0.888255416,0.862941847,0.01791174,11.27,Train/Test Split
20250513_183031,uncertainty,20,0.1,100,50,1100,0.914481186,0.892132269,0.022928401,33.72,Train/Test Split
20250513_183031,random,20,0.1,100,50,1100,0.898517674,0.884207526,0.02418965,33.72,Train/Test Split
20250513_183157,uncertainty,30,0.1,100,50,1600,0.941847206,0.922843025,0.026307169,70.79,Train/Test Split
20250513_183157,random,30,0.1,100,50,1600,0.90649943,0.897339415,0.016048758,70.79,Train/Test Split
20250513_183415,uncertainty,40,0.1,100,50,2100,0.947548461,0.92622577,0.027796407,120.86,Train/Test Split
20250513_183415,random,40,0.1,100,50,2100,0.907639681,0.896322691,0.018826898,120.86,Train/Test Split
20250513_183719,uncertainty,50,0.1,100,50,2600,0.947548461,0.930741163,0.025155712,173.52,Train/Test Split
20250513_183719,random,50,0.1,100,50,2600,0.912200684,0.896944128,0.019744312,173.52,Train/Test Split
20250513_184148,uncertainty,60,0.1,100,50,3100,0.94640821,0.933162296,0.0212202,253.59,Train/Test Split
20250513_184148,random,60,0.1,100,50,3100,0.922462942,0.897795515,0.026276096,253.59,Train/Test Split
20250513_184735,uncertainty,70,0.1,100,50,3600,0.944127708,0.936145952,0.020162045,333.65,Train/Test Split
20250513_184735,random,70,0.1,100,50,3600,0.915621437,0.89675843,0.016109086,333.65,Train/Test Split
20250513_185521,uncertainty,80,0.1,100,50,4100,0.945267959,0.935761117,0.023412618,429.21,Train/Test Split
20250513_185521,random,80,0.1,100,50,4100,0.922462942,0.906898518,0.018889229,429.21,Train/Test Split
20250513_190607,uncertainty,100,0.1,100,50,5100,0.939566705,0.935553022,0.019755964,635.51,Train/Test Split
20250513_190607,random,100,0.1,100,50,5100,0.938426454,0.914880274,0.020037536,635.51,Train/Test Split
20250513_192231,uncertainty,100,0.1,200,50,5200,0.944127708,0.937377423,0.015283343,686.61,Train/Test Split
20250513_192231,random,100,0.1,200,50,5200,0.923603193,0.91304447,0.018383602,686.61,Train/Test Split
20250513_193521,uncertainty,100,0.1,200,50,5200,0.914481186,0.91640821,0.007738087,696.15,Manual Temporal Split
20250513_193521,random,100,0.1,200,50,5200,0.913340935,0.910649943,0.012107639,696.15,Manual Temporal Split
